tmdb_id,genre_ids
961,"35,10752,12,28,36,10749"
76,"18,10749"
961323,"16,14,12"
19542,"18,10749"
770,"18,10752,10749"
11658,"28,12,18,36,10752"
776503,"18,10402,10749"
38286,35
3090,"12,18,37"
1580,"53,80,18"
38360,"18,10749,10752"
70,18
1059,"18,28,12"
920394,"18,10402"
482321,"16,878,10751,35"
426618,"10752,18,10749"
1578,18
160885,35
29264,"35,18,14"
20803,"35,878"
14160,"16,35,10751,12"
234,"18,27,53,80"
242828,"16,18"
550205,"16,10751,35,14"
15244,"18,53"
745,"9648,53,18"
76203,"18,36"
1092,"53,9648"
41050,"18,10749"
5925,"12,18,36,53,10752"
149,"16,878,28"
714888,"18,36"
329,"12,878"
237791,"18,10749"
654,"80,18,10749"
110,"18,9648,10749"
28971,"10749,18,10402"
10238,18
775,"12,878"
158445,"18,35"
679,"28,53,878"
21334,"18,10751"
6977,"80,18,53"
197,"28,18,36,10752"
615453,"16,14,12"
11010,"35,18,10749"
37797,"16,18,10751"
20722,16
78,"878,18,53"
552532,18
152532,"18,36"
31411,"35,10749,18"
11712,"18,28,35"
3777,"18,36"
81,"12,16,14"
405,18
458302,"12,10751,18"
10386,"10751,16,878,18"
30017,"80,18"
10404,18
9323,"28,16,878"
85,"12,28"
360814,"18,10751,35,28"
501929,"16,12,35"
142061,"878,28,16,9648"
10242,"18,27,53"
785084,18
17295,"18,10752,36"
8290,"35,10752"
522402,"878,18,12"
491480,"18,36,10751"
404378,"10751,18"
150540,"16,10751,12,18,35"
296096,"18,10749"
829,"80,18,9648,53"
698948,"18,53"
610150,"16,878,28"
10674,"16,10751,12"
671,"12,14"
334533,"12,18"
10997,18
122906,"18,10749,14"
33,37
20271,"35,80"
1646,"80,18"
223,"9648,10749,53,18"
183011,"878,16,28,12"
455714,"18,80,53,35"
47796,18
31442,"18,10752"
7857,"35,18"
949,"28,80,18"
10728,"18,14,27"
2011,"16,18"
666277,"18,10749"
438695,"16,10751,10402,35"
118340,"28,878,12"
194,"35,10749"
316029,18
60243,18
1402,18
667520,"16,18,10749,14"
313369,"35,18,10749,10402"
597,"18,10749"
522212,"18,80,36"
505262,"16,28,12,14"
7984,18
3034,35
752,"28,53,878"
331482,"18,10749"
13398,"16,18,35"
1892,"12,28,878"
210577,"9648,53,18"
726684,"16,14,28,10770"
503314,"28,878,16"
32085,"16,14"
198,"35,10752"
354857,"16,35,878,10770,12,28"
2721,"53,80,18"
715931,"18,10752,36"
11036,"10749,18"
3112,"80,18,53"
527774,"16,10751,14,28,12"
662,"10749,878"
827,"18,27,53"
25538,18
523781,"18,10749"
804,"10749,35,18"
712454,"16,12,9648"
3870,"18,36"
3083,"35,18"
393,"28,80,53"
594634,"10749,18"
369557,"10749,18,10402"
48035,18
435129,"16,10752,18,10751"
11830,35
665,"36,18,12,28"
530254,"28,9648,53,878"
24238,"16,35,18"
652722,"10749,53"
381341,"35,18"
94047,"18,28,36,10752"
3078,"35,10749"
265195,"18,53,35"
29455,18
275,"80,18,53"
180147,35
1394,"18,10749"
16,"18,80"
379170,"80,18,9648,10770"
14836,"16,10751,14"
11293,"35,80,18"
833,18
505192,"18,80,53"
24167,"18,10752"
777,"18,36,10752"
152601,"10749,878,18"
430424,"18,80,10752"
266856,"18,10749"
632322,"10749,18"
25364,18
453,"18,10749"
938008,"28,80,53"
1607,"18,80"
613,"18,36,10752"
399174,"12,35,16"
508943,"16,35,14,12,10751"
2440,"10752,18,53,28"
235,"80,18"
113,18
698508,"10749,18,37"
185789,"53,10770,18,9648"
16804,18
14574,"18,10752,36"
89,"12,28"
579245,"35,18"
593,"18,878,9648"
32480,35
16859,"16,10751,14"
33320,"16,18,10749"
581,"12,18,37"
391,37
1675,"35,18"
546554,"35,80,9648"
398924,"10752,18"
5924,"80,18"
293299,"16,35,18,10751"
59440,"18,28"
9479,"14,16,10751"
934,"80,53,18"
115,"35,80"
93,"80,18,9648"
83564,"16,10751"
650031,"10752,18,36"
200727,"10749,18,35"
585,"16,35,10751"
585511,"16,12,35,14"
11049,"16,878,10402,12"
573164,"16,35,12,10751"
22596,"35,10749,53"
152742,"18,10749,80"
968,"80,18,53"
631,"18,10749"
301,37
6075,"80,18,10749,53"
507089,"27,9648"
826,"18,36,10752"
843906,"16,35,9648,10751,14"
52629,"18,80,35"
31011,"878,18,10749,14"
1018,"53,18,9648"
556901,"28,16"
5511,"80,53"
11656,18
22843,"16,878,28,18"
10775,"18,28,53,80,9648"
10774,18
12,"16,10751"
71157,"18,53"
596,18
80,"18,10749"
56231,18
677638,"16,12,10751,35,10770"
263115,"28,18,878"
805,"18,27,53"
359156,"80,18"
314365,"18,36"
47931,"18,28,80"
10191,"14,12,16,10751"
136,"18,27"
22683,18
674,"12,14"
545611,"28,12,878"
335578,"10752,18,36"
901563,18
126319,"16,35,18,10751,12"
445030,"16,28,18,10749,14,12"
2062,"16,35,10751,14"
609242,"35,53,80"
5915,"12,18"
579974,"28,18"
393559,"16,35,18,10751,10749"
367412,"18,10402"
29458,"18,36"
887,"18,10749,10752"
348892,"35,18,28"
107,"80,35"
31056,"18,10749"
29845,18
11953,"28,18,36,10752"
4977,"16,9648,878,53"
21135,"10749,18"
11602,18
762,"12,35,14"
882569,"10752,28,53"
25606,35
49797,"53,27"
142,"18,10749"
582927,18
1280,"18,10749,80"
937278,"35,18"
479718,"28,80"
502,"18,53,10752"
24480,"16,10751,35"
262,"18,35"
323272,"18,10749"
776305,"16,878,10751"
496450,"16,10751,14,28,10749,10402"
113833,18
22,"12,14,28"
10193,"16,10751,35"
419478,"10749,18"
52345,"35,10749"
13042,"16,10751,35"
423612,"18,10749"
11697,37
9421,35
84892,18
10315,"12,16,35,10751"
1366,"18,10749"
438631,"878,12"
277216,"18,10402,36"
2118,"80,9648,53"
554590,35
149870,"18,16,10752"
11621,"10751,35,16,12"
726759,"53,36,18"
141,"14,18,9648"
603692,"28,53,80"
14069,"14,16,18,878"
562,"28,53"
705861,"18,35"
30588,"35,80,18"
770254,"16,10751,12,35"
49026,"28,80,18,53"
915935,"18,9648"
336804,18
13855,"80,53,28"
1626,18
486589,"16,10749,10751,35,14"
9475,18
169813,18
553,"80,18,53"
117,"80,18,36,53"
1480,"80,53,9648"
144,"18,14,10749"
5961,"14,18,9648"
86837,"18,10749"
25253,"35,80"
20126,"27,9648,53"
18079,"80,53"
925,18
14282,"14,12,16"
587,"12,14,18"
744114,"18,10749"
581528,"80,28,53"
12444,"12,14"
5544,"18,36,10749"
428493,"10749,18"
396535,"27,53,28,12"
531,"16,35,10751"
380,18
317442,"28,10749,16"
49687,"18,35,10749"
11902,"35,18,10752"
6844,"18,36"
303,"53,10749,9648"
583,35
11005,18
1417,"14,18,10752"
166428,"16,10751,12"
703,"35,18,10749"
27670,35
14756,"18,28,36"
382591,"18,35"
40662,"878,80,28,16,9648"
10227,35
2108,"35,18"
1700,"18,53"
165,"12,35,878"
766507,"53,28,878"
492188,18
273248,"18,9648,37"
322,"53,80,18,9648"
843241,"16,14"
269149,"16,12,10751,35"
10229,"18,10749"
61979,"10749,18"
10757,"35,18"
696,"35,18,10749"
656563,"10749,35"
11220,"28,10749,80"
502033,"18,10402"
352173,"80,9648,53"
375794,35
22504,"16,10751,14"
17483,"18,10749"
873,18
792,"18,10752,28"
374473,18
45269,"18,36"
143,"18,10752"
396,18
506574,"10751,10770,12,14"
903,"80,18"
525,"10402,35,28,80"
123025,"878,28,16,9648"
12429,"16,14,10751"
539517,"14,16,27,28"
177572,"12,10751,16,28,35"
49046,"18,10752"
502356,"16,10751,12,14,35"
33602,"18,36"
30018,"80,18,9648"
602063,"28,12"
413594,"16,28,12,14,10749,878"
12405,"18,10749"
10020,"10749,10751,16,14"
16052,"18,10402,36"
334,18
713776,"18,16"
211954,"35,18"
12491,18
808,"16,35,14,12,10751"
216,"10749,18"
234200,"18,35"
451945,18
9800,18
404,18
359784,"18,10749"
24657,18
9552,27
556984,"18,36"
205,"18,36,10752"
976573,"16,35,10751,14,10749"
337960,18
929170,35
508439,"10751,16,12,35,14"
15265,"35,18,10751,14"
963,"9648,80,53"
869626,"16,35,18,10751"
393729,18
1908,18
672,"12,14"
25050,"18,10751"
162,"14,18,10749"
573699,"10749,16,14"
81401,18
24160,35
